Entity,Code,Year,"Plastic waste generation (tonnes, total)",Population,Annual Growth Rate %,Area (sq km),Density (per sq km),Per capita plastic waste (kg/person/day),Mismanaged waste (% global total),Share of plastic inadequately managed,gdp_per_capita
Kuwait,KWT,2010,750690,2543299,2.102,17818,142.7,0.686,0.0361,0,32216.413
Latvia,LVA,2010,94935,2115339,-2.264,62249,34,0.124,0.0323,14,11276.112
Lebanon,LBN,2010,148807,4489300,-0.097,10230,438.8,0.094,0.1502,34,7761.616
Liberia,LBR,2010,121050,3817346,3.144,96320,39.6,0.084,0.1781,84,541.579
Libya,LBY,2010,324250,6367346,2.558,1759540,3.6,0.144,0.1657,23,11417.422
Lithuania,LTU,2010,149227,3088773,-3.094,62680,49.3,0.132,0.0109,14,12009.033
Macao,MAC,2010,72126,NA,NA,NA,NA,0.368,0.0022,0,NA
Madagascar,MDG,2010,123526,20808128,2.741,581540,35.8,0.016,0.1084,84,471.959
Malaysia,MYS,2010,2031675,29062898,1.947,328657,88.4,0.198,2.9419,55,9046.985
Maldives,MDV,2010,43134,395647,-0.187,298,1327.7,0.322,0.0988,66,8086.697
Malta,MLT,2010,32377,417173,0.231,316,1320.2,0.214,0.0082,6,21842.065
Marshall Islands,MHL,2010,3674,65768,2.002,181,363.4,0.192,0.01,77,3030.394
Mauritania,MRT,2010,59287,3202968,2.363,1030700,3.1,0.045,0.0435,82,1715.923
Mauritius,MUS,2010,104971,1281606,0.44,2030,631.3,0.23,0.176,51,8000.376
Mexico,MEX,2010,3725463,114222072,1.514,1943945,58.8,0.087,0.3182,12,9299.455
Micronesia (country),FSM,2010,3895,NA,NA,NA,NA,0.103,0.0151,81,NA
Monaco,MCO,2010,3412,30589,-0.167,2,15294.5,0.252,2e-4,0,NA
Montenegro,MNE,2010,32557,622553,0.014,13452,46.3,0.144,0.0139,30,6694.168
Morocco,MAR,2010,863555,32266907,1.225,716550,45,0.073,0.9739,66,2896.564
Mozambique,MOZ,2010,132612,23012071,2.64,786380,29.3,0.015,0.1444,84,471.904
Myanmar,MMR,2010,1373018,NA,NA,NA,NA,0.075,1.4391,87,774.72
Namibia,"NAM",2010,114222,2182968,1.399,823290,2.7,0.144,0.0172,66,5410.977
Nauru,NRU,2010,527,9237,0.574,21,439.9,0.144,0.0017,67,4748.078
Netherlands,NLD,2010,2571398,16573644,0.49,33893,489,0.424,0.087,0,51165.823
New Caledonia,NCL,2010,22995,252363,1.564,18275,13.8,0.252,0.0015,0,NA
New Zealand,NZL,2010,525630,4269245,1.075,264537,16.1,0.331,0.0292,0,33379.61
Nicaragua,NIC,2010,299480,5595169,1.098,119990,46.6,0.143,0.2651,45,1506.073
Nigeria,NGA,2010,5961750,165890754,2.681,910768,182.1,0.103,2.674,81,2328.425
North Korea,PRK,2010,484700,NA,NA,NA,NA,0.054,0.9557,88,NA
Northern Mariana Islands,MNP,2010,5006,55121,-5.482,472,116.8,0.252,7e-4,0,NA
Norway,NOR,2010,499682,4891301,1.273,304282,16.1,0.28,0.0264,0,87356.193
Oman,OMN,2010,93251,2962837,1.976,309500,9.6,0.084,0.0146,4,19027.779
Pakistan,PAK,2010,6412210,188341201,2.436,770875,244.3,0.103,1.5089,86,1029.165
Palau,PLW,2010,1076,20840,0.317,459,45.4,0.144,0.0022,56,9986.289
Palestine,PSE,2010,87636,NA,NA,NA,NA,0.063,0.0176,6,NA
Panama,PAN,2010,192818,3481393,1.447,74340,46.8,0.145,0.108,18,8039.764
Papua New Guinea,PNG,2010,267234,7064435,2.622,452860,15.6,0.103,0.2821,86,2132.185
Peru,PER,2010,1543879,29347898,0.574,1279996,22.9,0.144,0.6106,25,5051.219
Philippines,PHL,2010,2565766,93745810,1.754,298170,314.4,0.075,5.9153,81,2237.157
Poland,POL,2010,1346905,38616395,0.068,304255,126.9,0.097,0.0493,12,12619.616
Portugal,PRT,2010,1022683,10650026,-0.007,91470,116.4,0.265,0.0515,0,22539.038
Puerto Rico,PRI,2010,342306,3721525,-1.1,8869,419.6,0.252,0.0519,2,26435.742
Qatar,QAT,2010,103933,1719867,8.796,11586,148.4,0.16,0.0024,0,69796.138
Romania,ROU,2010,310385,20532547,-0.676,229891,89.3,0.042,0.0113,26,8194.719
Russia,RUS,2010,5839685,143493100,0.001,16377742,8.8,0.112,0.2536,16,NA
Saint Kitts and Nevis,KNA,2010,12280,49888,0.83,261,191.1,0.654,0.0022,6,15136.905
Saint Lucia,LCA,2010,32882,160619,0.377,606,265,0.522,0.0211,20,8968.072
Saint Vincent and the Grenadines,VCT,2010,8818,104102,-0.349,389,267.6,0.221,0.007,21,6224.215
Samoa,WSM,2010,7000,192001,0.605,2821,68.1,0.103,0.0161,80,3617.358
Sao Tome and Principe,STP,2010,6571,175718,2.103,964,182.3,0.103,0.016,81,NA
Saudi Arabia,SAU,2010,1561618,27962740,3.327,2149690,13,0.156,0.0645,8,19163.342
Senegal,SEN,2010,485586,12667027,3.075,192530,65.8,0.103,0.8001,82,1272.622
Seychelles,SYC,2010,11730,88053,0.939,455,193.5,0.358,0.0145,37,10805.099
Sierra Leone,SLE,2010,96655,6121737,3.168,71620,85.5,0.041,0.1143,84,401.835
Singapore,SGP,2010,359483,5189542,1.184,709,7319.5,0.194,0.0203,0,47236.672
Sint Maarten (Dutch part),SXM,2010,3263,NA,NA,NA,NA,0.252,2e-4,0,NA
Slovenia,SVN,2010,108421,2084182,0.154,20151,103.4,0.145,0.0017,1,23570.184
Solomon Islands,SLB,2010,19842,555439,2.242,27986,19.8,0.103,0.064,86,1604.149
Somalia,SOM,2010,237569,9787362,1.636,627337,15.6,0.054,0.3188,85,no data
South Africa,ZAF,2010,4465798,51122241,0.443,1214470,42.1,0.24,1.9784,54,8130.194
South Korea,KOR,2010,2025772,NA,NA,NA,NA,0.112,0.106,0,NA
Spain,ESP,2010,4709157,46412492,0.133,498980,93,0.277,0.144,0,30566.877
Sri Lanka,LKA,2010,2621606,21083218,0.949,64630,326.2,0.357,4.9968,82,2799.963
Sudan,SDN,2010,1292740,34983893,2.018,1861484,18.8,0.103,0.072,80,1637.419
Suriname,SUR,2010,31300,535243,2.093,156000,3.4,0.163,0.0124,15,8806.017
Sweden,SWE,2010,164305,9432308,0.796,410335,23,0.048,0.0068,0,52658.794
Syria,SYR,2010,1365594,22223250,2.339,185887,119.6,0.178,0.4959,65,2806.685
Tanzania,TZA,2010,386998,44520989,3.016,885800,50.3,0.023,0.1526,84,732.315
Thailand,THA,2010,3532495,66271488,0.605,510890,129.7,0.144,3.2274,73,5073.705
Togo,TGO,2010,135294,6178252,2.764,54385,113.6,0.057,0.1112,84,721.037
Tonga,TON,2010,8476,105623,0.295,717,147.3,0.223,0.0208,78,3569.101
Trinidad and Tobago,TTO,2010,1745123,1321279,0.534,5128,257.7,0.29,0.2954,3,16957.433
Tunisia,TUN,2010,559235,10525963,1.147,155360,67.8,0.144,0.7358,60,4140.465
Turkey,TUR,2010,5596657,74647083,1.066,769632,97,0.212,1.526,16,10533.45
Turks and Caicos Islands,TCA,2010,2851,43214,3.871,948,45.6,0.252,2e-4,0,NA
Tuvalu,TUV,2010,554,10479,0.668,26,403,0.144,0.0014,73,3133.042
Ukraine,UKR,2010,1724509,45768171,-0.403,579330,79,0.103,0.4044,49,2982.814
United Arab Emirates,ARE,2010,600741,8020877,3.361,83600,95.9,0.199,0.0095,0,35065.935
United Kingdom,GBR,2010,4925590,62502490,0.808,241930,258.3,0.215,0.2121,0,39579.618
United States,USA,2010,37825550,309321666,NA,9150541,33.8,0.335,0.8649,0,48586.288
Uruguay,URY,2010,310379,3302078,0.236,175015,18.9,0.252,0.0677,8,12883.878
Vanuatu,VUT,2010,25443,245053,2.229,12189,20.1,0.295,0.0706,81,2719.254
Venezuela,VEN,2010,2669998,28663205,1.462,882050,32.5,0.252,0.3214,5,11158.18
Vietnam,VNM,2010,3268227,90458607,1.226,310070,291.7,0.103,5.7588,86,1628.013
Yemen,YEM,2010,887497,23195115,2.846,527968,43.9,0.103,0.531,73,1266.787
Afghanistan,NA,NA,NA,29116851,2.139,652230,44.6,NA,NA,NA,631.49
American Samoa,NA,NA,NA,55529,-0.796,198,280.4,NA,NA,NA,NA
Andorra,NA,NA,NA,84563,0.414,468,180.7,NA,NA,NA,49030.229
Anguilla,NA,NA,NA,14748,2.197,91,162.1,0.252,2e-4,2,NA
Armenia,NA,NA,NA,3071974,-0.079,28203,108.9,NA,NA,NA,3121.778
Austria,NA,NA,NA,8447901,0.271,82445,102.5,NA,NA,NA,46955.173
Azerbaijan,NA,NA,NA,9301693,1.023,82629,112.6,NA,NA,NA,5880.806
"Bahamas, The",NA,NA,NA,319159,0.948,10010,31.9,NA,NA,NA,29303.257
Belarus,NA,NA,NA,9680067,-0.196,202900,47.7,NA,NA,NA,6025.686
Bhutan,NA,NA,NA,759415,1.268,38394,19.8,NA,NA,NA,2097.66
Bolivia,NA,NA,NA,10024103,1.875,1083301,9.3,NA,NA,NA,1972.684
Botswana,NA,NA,NA,1977723,1.682,566730,3.5,NA,NA,NA,6202.466
Burkina Faso,NA,NA,NA,15633854,2.923,273800,57.1,NA,NA,NA,648.365
Burma,NA,NA,NA,51414732,0.983,653508,78.7,NA,NA,NA,NA
Burundi,NA,NA,NA,9139612,3.442,25680,355.9,NA,NA,NA,231.549
Cabo Verde,NA,NA,NA,508410,1.444,4033,126.1,NA,NA,NA,3312.035
Central African Republic,NA,NA,NA,4683051,1.934,622984,7.5,NA,NA,NA,492.078
Chad,NA,NA,NA,11989444,3.615,1259200,9.5,NA,NA,NA,895.354
Congo (Brazzaville),NA,NA,NA,4237655,3.387,341500,12.4,NA,NA,NA,NA
Congo (Kinshasa),NA,NA,NA,72742117,3.457,2267048,32.1,NA,NA,NA,NA
Cook Islands,NA,NA,NA,11459,-3.264,236,48.6,0.144,0.0013,36,NA
Curaçao,NA,NA,NA,143412,0.943,444,323,NA,NA,NA,NA
Czechia,NA,NA,NA,10550886,0.246,77247,136.6,NA,NA,NA,NA
Côte d'Ivoire,NA,NA,NA,21718472,2.382,318003,68.3,NA,NA,NA,1650.956
Eswatini,NA,NA,NA,1019229,0.307,17204,59.2,NA,NA,NA,4263.91
Ethiopia,NA,NA,NA,82065947,2.753,1096570,74.8,NA,NA,NA,360.829
Faroe Islands,NA,NA,NA,49052,0.422,1393,35.2,NA,NA,NA,NA
"Gambia, The",NA,NA,NA,1749619,3.084,10120,172.9,NA,NA,NA,860.639
Gaza Strip,NA,NA,NA,1502519,2.857,360,4173.7,NA,NA,NA,NA
Guernsey,NA,NA,NA,64799,0.505,78,830.8,0.252,3e-4,0,NA
Hungary,NA,NA,NA,9989465,-0.185,89608,111.5,NA,NA,NA,13173.209
Isle of Man,NA,NA,NA,83829,0.933,572,146.6,NA,NA,NA,NA
Jersey,NA,NA,NA,93317,0.815,116,804.5,NA,NA,NA,NA
Kazakhstan,NA,NA,NA,17080458,1.292,2699700,6.3,NA,NA,NA,9005.041
"Korea, North",NA,NA,NA,24371787,0.54,120408,202.4,NA,NA,NA,NA
"Korea, South",NA,NA,NA,49258140,0.603,96920,508.2,NA,NA,NA,NA
Kosovo,NA,NA,NA,1814820,0.569,10887,166.7,NA,NA,NA,3290.463
Kyrgyzstan,NA,NA,NA,5410439,0.691,191801,28.2,NA,NA,NA,NA
Laos,NA,NA,NA,6393271,1.857,230800,27.7,NA,NA,NA,NA
Lesotho,NA,NA,NA,1993907,0.879,30355,65.7,NA,NA,NA,1222.197
Liechtenstein,NA,NA,NA,36137,0.783,160,225.9,NA,NA,NA,NA
Luxembourg,NA,NA,NA,509257,1.919,2586,196.9,NA,NA,NA,106177.041
Macau,NA,NA,NA,569121,0.976,28,20325.8,NA,NA,NA,NA
Malawi,NA,NA,NA,15016095,3.149,94080,159.6,NA,NA,NA,623.414
Mali,NA,NA,NA,14514077,3.12,1220190,11.9,NA,NA,NA,733.666
"Micronesia, Federated States of",NA,NA,NA,107069,-0.294,702,152.5,NA,NA,NA,NA
Moldova,NA,NA,NA,3731159,-1.05,32891,113.4,NA,NA,NA,2428.106
Mongolia,NA,NA,NA,2783419,1.565,1553556,1.8,NA,NA,NA,2602.373
Montserrat,NA,NA,NA,5118,0.391,102,50.2,0.144,1e-4,12,NA
Nepal,NA,NA,NA,26662624,1.509,143351,186,NA,NA,NA,677.187
Niger,NA,NA,NA,15612503,3.734,1266700,12.3,NA,NA,NA,476.062
North Macedonia,NA,NA,NA,2079955,0.281,25433,81.8,NA,NA,NA,4576.228
Paraguay,NA,NA,NA,6372088,1.309,397302,16,NA,NA,NA,4329.69
Rwanda,NA,NA,NA,9923423,2.663,24668,402.3,NA,NA,NA,612.052
Saint Barthelemy,NA,NA,NA,7405,-0.554,25,296.2,NA,NA,NA,NA
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,7682,0.443,394,19.5,NA,NA,NA,NA
Saint Martin,NA,NA,NA,30218,1.317,54,559.6,NA,NA,NA,NA
Saint Pierre and Miquelon,NA,NA,NA,5976,-0.904,242,24.7,0.252,0,0,NA
San Marino,NA,NA,NA,31467,1.096,61,515.9,NA,NA,NA,60426.235
Serbia,NA,NA,NA,7233391,-0.51,77474,93.4,NA,NA,NA,5677.545
Sint Maarten,NA,NA,NA,37896,1.647,34,1114.6,NA,NA,NA,NA
Slovakia,NA,NA,NA,5426041,0.11,48105,112.8,NA,NA,NA,NA
South Sudan,NA,NA,NA,9765126,6.043,644329,15.2,NA,NA,NA,NA
Switzerland,NA,NA,NA,7769857,1.064,39997,194.3,NA,NA,NA,77431.92
Taiwan,NA,NA,NA,23110964,0.173,32260,716.4,0.252,0.1436,0,NA
Tajikistan,NA,NA,NA,7485841,1.844,141510,52.9,NA,NA,NA,738.287
Timor-Leste,NA,NA,NA,1087657,2.528,14874,73.1,NA,NA,NA,806.413
Turkmenistan,NA,NA,NA,4940152,1.134,469930,10.5,NA,NA,NA,6855.9
Uganda,NA,NA,NA,31002201,2.801,197100,157.3,NA,NA,NA,808.713
Uzbekistan,NA,NA,NA,27868832,0.939,425400,65.5,NA,NA,NA,1777.487
"Virgin Islands, British",NA,NA,NA,29629,2.514,151,196.2,NA,NA,NA,NA
"Virgin Islands, U.S.",NA,NA,NA,108357,-0.067,348,311.4,NA,NA,NA,NA
Wallis and Futuna,NA,NA,NA,15331,0.32,142,108,NA,NA,NA,NA
West Bank,NA,NA,NA,2403049,1.98,5640,426.1,NA,NA,NA,NA
Zambia,NA,NA,NA,13646916,3.138,743398,18.4,NA,NA,NA,1456.052
Zimbabwe,NA,NA,NA,12721852,0.962,386847,32.9,NA,NA,NA,975.851
Christmas Island,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Cocos Islands,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
French Guiana,NA,NA,NA,NA,NA,NA,NA,0.144,0.0074,25,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,NA,0.144,0.0206,25,NA
Martinique,NA,NA,NA,NA,NA,NA,NA,0.252,0.0024,0,NA
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,0.252,0.0013,0,NA
Niue,NA,NA,NA,NA,NA,NA,NA,0.252,0,0,NA
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,0.103,2e-4,82,NA
Reunion,NA,NA,NA,NA,NA,NA,NA,0.144,0.0027,0,NA
Saint Helena,NA,NA,NA,NA,NA,NA,NA,0.144,3e-4,25,NA
Tokelau,NA,NA,NA,NA,NA,NA,NA,0.103,1e-4,82,NA
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35437.219
"China, People's Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4499.803
"Congo, Dem. Rep. of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333.637
"Congo, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3597.956
Czech Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19983.577
Hong Kong SAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32421.361
"Korea, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23077.161
Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884.846
Lao P.D.R.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200.869
Macao SAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51135.159
"Micronesia, Fed. States of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2887.354
Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11431.148
Slovak Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16783.991
"South Sudan, Republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no data
São Tomé and Príncipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128.309
Taiwan Province of China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19181.358
West Bank and Gaza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2406.261
