Entity,Year,plastic_waste_gen,Population_2010,Area_km2,plastic_waste_per_cap,mismanaged_waste,percent_of_inadequate_managed,GDP,GDP_per_cap
Israel,2010,826436,7623600,22072,0.297,0.0597,1,247802932721.582,32504.713353478935
Italy,2010,2899258,60340328,301338,0.134,0.1029,0,1899561666732.94,31480.797829487103
Jamaica,2010,34962,2701200,10991,0.034,0.0315,27,13739175678.6585,5086.322996689805
Japan,2010,7993489,128056000,377972,0.171,0.4494,0,4218907820177.17,32945.803556078354
Jordan,2010,377506,6113000,89341,0.144,0.0055,58,33723826288.3537,5516.73912781837
Kenya,2010,407506,40862900,580367,0.027,0.0712,83,55748903297.985,1364.2914060917117
Kiribati,2010,3859,100835,637657,0.103,0.0096,84,140781489.184831,1396.1569810564883
Kuwait,2010,750690,3566437,17818,0.686,0.0361,0,95846136293.4494,26874.479009007984
Latvia,2010,94935,2248374,64589,0.124,0.0323,14,22987672592.1637,10224.132013696875
Lebanon,2010,148807,3785655,10452,0.094,0.1502,34,45248719566.8798,11952.679144528436
Liberia,2010,121050,4101767,111369,0.084,0.1781,84,2523750024.99577,615.2836143534652
Libya,2010,324250,6545619,1759541,0.144,0.1657,23,54977402524.177,8399.114357889912
Lithuania,2010,149227,3329039,65300,0.132,0.0109,14,34387524905.8253,10329.565050402023
Macao,2010,72126,4048403,110993.6,0.368,0.0022,0,1143576512.44684,20620.477261257434
Madagascar,2010,123526,20146442,587041,0.016,0.1084,84,9925206717.3149,492.6530807432349
Malaysia,2010,2031675,28334135,330803,0.198,2.9419,55,232653672974.011,8211.073779877557
Maldives,2010,43134,319738,33846,0.322,0.0988,66,3116691850.28246,9747.642914769156
Malta,2010,32377,414372,765.3,0.214,0.0082,6,8521308887.16299,20564.393557390435
Marshall Islands,2010,3674,109284,342000,0.192,0.01,77,180807400,3972.6510945544587
Mauritania,2010,59287,3217383,1030000,0.045,0.0435,82,4951454243.97486,1538.9694804674668
Mauritius,2010,104971,1283415,2040,0.23,0.176,51,9775428535.05529,7616.7323391539685
Mexico,2010,3725463,112336538,1972550,0.087,0.3182,12,1012981356870.87,9017.380942172795
Micronesia (country),2010,3895,1501266,825615,0.103,0.0151,81,11147389028.9243,1606.0419191036647
Monaco,2010,3412,103365,86600,0.252,2e-4,0,4703735663.00272,48256.06204786009
Montenegro,2010,32557,616411,56594,0.144,0.0139,30,3703881497.9949,6008.785531074072
Morocco,2010,863555,31894000,710850,0.073,0.9739,66,83183640110.5864,2608.128178045601
Mozambique,2010,132612,22416881,801590,0.015,0.1444,84,11292433937.9272,503.74688333881954
Myanmar,2010,1373018,59780000,676578,0.075,1.4391,87,45669365074.4634,763.9572611987855
Namibia,2010,114222,2212037,825615,0.144,0.0172,66,8787651209.24496,3972.6510945544587
Nauru,2010,527,530669,342000,0.144,0.0017,67,41204600.652142,3948.3118509297237
Netherlands,2010,2571398,16574989,41543,0.424,0.087,0,737269160825.437,44480.82353631951
New Caledonia,2010,22995,248000,83600,0.252,0.0015,0,247077320337.504,39966.17526794635
New Zealand,2010,525630,4367800,268021,0.331,0.0292,0,154043828518.628,35268.05909579834
Nicaragua,2010,299480,5822265,130375,0.143,0.2651,45,9778809539.52618,1679.5541837285284
Nigeria,2010,5961750,158258917,923768,0.103,2.674,81,380985472030.909,2407.3554858896764
North Korea,2010,484700,24325701,120540,0.054,0.9557,88,34387524905.8253,1364.2914060917117
Northern Mariana Islands,2010,5006,3217383,56594,0.252,7e-4,0,881321212.121212,19572.35843761582
Norway,2010,499682,4858199,385203,0.28,0.0264,0,354111728841.583,72889.50675787118
Oman,2010,93251,2773479,309500,0.084,0.0146,4,62776154506.6944,22634.44378222961
Pakistan,2010,6412210,173510000,881913,0.103,1.5089,86,222284432536.034,1281.1044466372773
Palau,2010,1076,312971,20273,0.144,0.0022,56,234129899.999999,3791.5311484361728
Palestine,2010,87636,4048403,6020,0.063,0.0176,6,8521308887.16299,14485.844162417443
Panama,2010,192818,3504483,75417,0.145,0.108,18,37273325312.3854,10635.89845132232
Papua New Guinea,2010,267234,6744955,462840,0.103,0.2821,86,16339698488.6725,2422.506671826943
Peru,2010,1543879,29461933,1285216,0.144,0.6106,25,150300719889.204,5101.522696735615
Philippines,2010,2565766,92337852,343448,0.075,5.9153,81,228621986430.26,2475.929225971815
Poland,2010,1346905,38167329,312679,0.097,0.0493,12,413089003846.664,10823.10485616282
Portugal,2010,1022683,10637713,92212,0.265,0.0515,0,207893071520.955,19543.02315929702
Puerto Rico,2010,342306,3721978,9104,0.252,0.0519,2,106406296723.36,28588.642040162515
Qatar,2010,103933,1699435,11581,0.16,0.0024,0,116951901413.005,68818.10802590568
Romania,2010,310385,21462186,238397,0.042,0.0113,26,154408594834.276,7194.44863791023
Russia,2010,5839685,142849472,17075200,0.112,0.2536,16,1012981356870.87,8330.794521246466
Saint Kitts and Nevis,2010,12280,1055506,69700,0.654,0.0022,6,2523750024.99577,14485.844162417443
Saint Lucia,2010,32882,174000,93030,0.522,0.0211,20,4727000110.65619,11297.366558909818
Saint Vincent and the Grenadines,2010,8818,109284,29743,0.221,0.007,21,391911617.158105,11952.679144528436
Samoa,2010,7000,183123,462840,0.103,0.0161,80,758822283.280399,4143.784687234258
Sao Tome and Principe,2010,6571,502066,491210,0.103,0.016,81,252936034.663125,2422.506671826943
Saudi Arabia,2010,1561618,27136977,2149690,0.156,0.0645,8,509171960046.465,18763.03171301892
Senegal,2010,485586,12509434,196712,0.103,0.8001,82,14575382382.5758,1165.1512276715157
Seychelles,2010,11730,1647380,10991,0.358,0.0145,37,1084506074.45092,4770.961640937077
Sierra Leone,2010,96655,5835664,71740,0.041,0.1143,84,3437630797.22922,589.0727768475396
Singapore,2010,359483,5076700,721.5,0.194,0.0203,0,247077320337.504,48668.88339620305
Sint Maarten (Dutch part),2010,3263,1891830,26338,0.252,2e-4,0,1143576512.44684,20620.477261257434
Slovenia,2010,108421,2046976,20273,0.145,0.0017,1,42209622062.3397,20620.477261257434
Solomon Islands,2010,19842,530669,49035,0.103,0.064,86,1108154864.2049,2088.222346142134
Somalia,2010,237569,9358602,637657,0.054,0.3188,85,252936034.663125,492.6530807432349
South Africa,2010,4465798,49991300,1221037,0.24,1.9784,54,311653604140.269,6234.15682609312
South Korea,2010,2025772,49410366,100210,0.112,0.106,0,737269160825.437,52756.15283065631
Spain,2010,4709157,45989016,505990,0.277,0.144,0,1196670854394.8,26020.797105004378
Sri Lanka,2010,2621606,20653000,65610,0.357,4.9968,82,59780043793.0496,2894.496866946671
Sudan,2010,1292740,42338426,1886068,0.103,0.072,80,59215296613.7581,1398.6182815052714
Suriname,2010,31300,531170,26338,0.163,0.0124,15,4731441127.40364,8907.583499451475
Sweden,2010,164305,9340682,450295,0.048,0.0068,0,453619110971.171,48563.81054094027
Syria,2010,1365594,20619000,185180,0.178,0.4959,65,2718169887.36642,3791.5311484361728
Tanzania,2010,386998,43187823,947303,0.023,0.1526,84,34802104317.9451,805.8314103478913
Thailand,2010,3532495,63878267,513120,0.144,3.2274,73,346968110267.494,5431.7082563854465
Togo,2010,135294,6191155,56785,0.057,0.1112,84,3103184695.75064,501.22871996431036
Tonga,2010,8476,103365,462840,0.223,0.0208,78,391911617.158105,3791.5311484361728
Trinidad and Tobago,2010,1745123,1317714,5131,0.29,0.2954,3,24046505001.8902,18248.652592209084
Tunisia,2010,559235,10547100,163610,0.144,0.7358,60,42282852743.2843,4008.955328316248
Turkey,2010,5596657,73722988,783356,0.212,1.526,16,614171064520.319,8330.794521246466
Turks and Caicos Islands,2010,2851,103365,69700,0.252,2e-4,0,3703881497.9949,48256.06204786009
Tuvalu,2010,554,1647380,491210,0.144,0.0014,73,29675542.3122979,3948.3118509297237
Ukraine,2010,1724509,45782592,603628,0.103,0.4044,49,106195342825.514,2319.557241877306
United Arab Emirates,2010,600741,8264070,83600,0.199,0.0095,0,278172625005.8,33660.48750867308
United Kingdom,2010,4925590,62026962,242495,0.215,0.2121,0,2666812634394.31,42994.40998568187
United States,2010,37825550,309349689,9833520,0.335,0.8649,0,16320099471000,52756.15283065631
Uruguay,2010,310379,3356584,176215,0.252,0.0677,8,45125322733.7231,13443.823462699906
Vanuatu,2010,25443,245036,1098581,0.295,0.0706,81,674601737.452905,2753.07194637892
Venezuela,2010,2669998,28833845,716445,0.252,0.3214,5,24046505001.8902,18248.652592209084
Vietnam,2010,3268227,86932500,331230.8,0.103,5.7588,86,144993725389.756,1667.8885962068962
Yemen,2010,887497,23153982,527968,0.103,0.531,73,6452460920.49613,1309.2168400885946
Ethiopia,NA,5464471,83483000,1104300,0.075,2.4725,86,39727092173.7156,475.87044276937337
Democratic Republic of the Congo,NA,3725463,67827496,2345409,0.075,3.0367,88,1535897532897.39,1050.1774845223038
Uganda,NA,386998,31784600,241038,0.075,0.087,85,24896350853.0852,783.2834408199317
Nepal,NA,1059795,28043744,147181,0.054,0.0489,84,19764532017.4887,704.775083437101
Uzbekistan,NA,766988,28001400,448978,0.073,0.0478,36,60876692056.519,2174.058870503582
Afghanistan,NA,310385,24485600,652864,0.015,0.1526,85,15354604611.6719,627.0871292380787
Taiwan,NA,1898343,23162120,36197,0.252,0.1436,0,433229543117.888,36894.38314031006
Kazakhstan,NA,528843,16442000,2724900,0.252,0.0068,16,146559512181.377,8913.727781375563
Burkina Faso,NA,801321,15730977,274200,0.015,0.1964,83,9088720420.95919,577.7594373800935
Mali,NA,123526,15370000,1240192,0.045,1e-4,83,11009109608.9997,716.2725835393429
Niger,NA,1561618,15203822,1267000,0.045,0.4044,80,7299346317.20715,480.09943270890375
Malawi,NA,95171,13947592,118484,0.034,0.1526,82,5218860380.1025,374.1764442279714
Zambia,NA,87636,13257269,752618,0.01,0.0581,82,16527123087.7163,1246.6461295849317
Zimbabwe,NA,118196,12644041,390757,0.103,0.1526,83,14100154121.2086,1115.162005660105
Chad,NA,72120,11714904,1284000,0.016,0.1444,85,8653710578.06277,738.6924022649073
Czechia,NA,237569,10506813,78866,0.586,2e-4,66,62776154506.6944,7616.7323391539685
Bolivia,NA,324250,10426154,1098581,0.103,0.2876,73,25266542224.0712,2423.380876982174
Rwanda,NA,310379,10412820,26338,0.043,0.1143,83,6015645883.64785,577.7153435522606
Hungary,NA,195633,10014324,93030,0.252,0.0895,34,113135489067.688,11297.366558909818
Belarus,NA,318151,9480178,207595,0.189,0.3188,36,53317530166.8315,5624.106442603873
Azerbaijan,NA,811858,8997586,86600,0.069,0.9739,36,47218530722.19,5247.911019932458
Burundi,NA,715716,8518862,27834,0.048,0.9557,84,2718169887.36642,319.07664279177425
Austria,NA,499682,8375290,83879,0.047,0.0436,0,362278282473.232,43255.61054879676
Switzerland,NA,750690,7785806,41285,0.43,0.0447,0,641851654874.59,82438.69098133064
Tajikistan,NA,87636,7616400,143100,0.054,0.1526,82,5897861420.90634,774.3634027764219
Serbia,NA,121050,7291436,77474,0.189,0.0712,58,37959857147.321,5206.0879567921875
Paraguay,NA,118196,6459727,406752,0.144,0.2651,80,29786033372.5215,4611.035942002116
Laos,NA,118196,6230200,237955,0.258,0.0515,34,34802104317.9451,11952.679144528436
Turkmenistan,NA,96655,5479800,491210,0.054,0.0124,74,21701780648.8816,3960.3234878794115
Slovakia,NA,750690,5424925,49035,0.034,3e-4,36,45669365074.4634,5247.911019932458
Kyrgyzstan,NA,499682,5418300,199951,0.252,0.0208,0,5435968880.80073,19572.35843761582
Central African Republic,NA,299480,4505945,622984,0.03,0.0014,85,2332499960.04546,517.6494520118333
Republic of the Congo,NA,72120,3758678,342000,0.144,0.0139,86,34802104317.9451,1396.1569810564883
Moldova,NA,559235,3563695,33846,0.075,0,36,6452460920.49613,1810.6097520961052
Armenia,NA,5990,3249482,29743,0.103,0.1822,82,8513508875.79318,2619.9587736732133
Mongolia,NA,32882,2780800,1566000,0.201,0.0019,66,7152385742.49397,2572.060465511353
Kosovo,NA,103933,2208107,10908,0.103,0.0124,49,5048933039.08891,2286.543649872452
Macedonia,NA,59785,2052722,25713,0.047,0.108,0,4731441127.40364,30055.394248753102
Botswana,NA,12417,2029307,581730,0.144,0.0933,80,11211689312.5714,5524.885743049917
Lesotho,NA,9352,1891830,30355,0.041,2e-4,84,1986757270.54383,1050.1774845223038
Timor-Leste,NA,1745123,1149028,765.3,0.103,4.9968,84,1296499018.68476,1128.3441471267543
Swaziland,NA,30666,1055506,65300,0.103,0.0022,66,15177492377.319,1309.2168400885946
Réunion,NA,12280,828054,56785,0.054,0.064,47,13061295371.5232,2286.543649872452
Bhutan,NA,32557,695822,462840,0.103,0.0206,45,1532318165.5995,2202.169758357022
Macau,NA,108421,552300,20273,0.054,0.0017,26,5218860380.1025,6008.785531074072
Western Sahara,NA,49990,530000,462840,0.103,0.0022,81,16527123087.7163,2753.07194637892
Luxembourg,NA,554,502066,237955,0.134,0.0139,1,53991112017.9913,107537.87752604499
Guadeloupe,NA,31300,404394,20273,0.144,0.0206,25,11009109608.9997,4872.221343277747
Martinique,NA,3263,399637,237955,0.252,0.0024,0,15327572988.2618,20620.477261257434
French Guiana,NA,34962,232223,28050,0.144,0.0074,25,75879253449.5413,11952.679144528436
Mayotte,NA,7000,202000,45227,0.252,0.1502,1,10420206418.2643,30055.394248753102
São Tomé and Príncipe,NA,100713,165397,765.3,0.026,0.0368,6,891775800.885315,21089.294125592696
U.S. Virgin Islands,NA,31300,106267,1098581,0.103,0.0056,81,8653710578.06277,2422.506671826943
Micronesia,NA,159681,102624,309500,0.221,0.0014,74,37959857147.321,5516.73912781837
Anguilla,NA,359483,11305118,42931,0.252,2e-4,2,2628802064.83063,19572.35843761582
Christmas Island,NA,3859,850700,109884,0.252,0,0,113135489067.688,51293.15394147962
Cocos Islands,NA,14678,512582,268021,0.252,0,0,247077320337.504,107537.87752604499
Cook Islands,NA,801321,17094270,603628,0.144,0.0013,36,51426570817.8819,4611.035942002116
Falkland Islands,NA,310379,2046976,41285,0.252,0,0,15327572988.2618,19572.35843761582
Guernsey,NA,1898343,40518951,36197,0.252,3e-4,0,1179642326916.53,43255.61054879676
Montserrat,NA,2571398,23162120,603628,0.144,1e-4,12,24046505001.8902,10329.565050402023
Netherlands Antilles,NA,1543879,7785806,385203,0.252,0.0013,0,95846136293.4494,21201.338293550143
Niue,NA,5106,399637,112492,0.252,0,0,7152385742.49397,22434.421358925585
Norfolk Island,NA,29646,319738,637657,0.103,2e-4,82,4703735663.00272,1128.3441471267543
Reunion,NA,3268227,62026962,301338,0.144,0.0027,0,1196670854394.8,42994.40998568187
Saint Helena,NA,31999,245036,267667,0.144,3e-4,25,3116691850.28246,7194.44863791023
Saint Pierre and Miquelon,NA,4925590,60340328,505990,0.252,0,0,2316635691390.19,72889.50675787118
Tokelau,NA,96655,13947592,1284000,0.103,1e-4,82,42209622062.3397,1165.1512276715157
